Loading repository data...
Reading installed packages...

S  | Name                                       | Summary                                                                            | Type
i  | libp11-kit0                                | Library to work with PKCS#11 modules                                               | package
i  | libpackagekit-glib2-18                     | GLib integration of PackageKit                                                     | package
i  | libpango-1_0-0                             | Library for Layout and Rendering of Text                                           | package
i  | libpangomm-1_4-1                           | C++ interface for pango                                                            | package
i  | libpaper                                   | Enables users to indicate their preferred paper size                               | package
i  | libpaper-tools                             | Tools that make use of libpaper                                                    | package
i  | libpaper2                                  | This package contains the paper library                                            | package
i  | libparted-fs-resize0                       | Library for manipulating partitions                                                | package
i  | libparted2                                 | Library for manipulating partitions                                                | package
i  | libpcap1                                   | A Library for Network Sniffers                                                     | package
i  | libpci3                                    | PCI utility library                                                                | package
i  | libpciaccess0                              | Generic PCI access library                                                         | package
i  | libpcre2-8-0                               | A library for Perl-compatible regular expressions                                  | package
i  | libpcre2-16-0                              | A library for Perl-compatible regular expressions                                  | package
i+ | libpcre2-32-0                              | A library for Perl-compatible regular expressions                                  | package
i  | libpcsclite1                               | PC/SC Smart Card Library                                                           | package
i  | libpgm-5_3-0                               | PGM Reliable Multicast Protocol library                                            | package
i  | libpipeline1                               | A pipeline manipulation library                                                    | package
i  | libpipewire-0_3-0                          | A Multimedia Framework designed to be an audio and video server and more           | package
i  | libpixman-1-0                              | Pixel manipulation library                                                         | package
i  | libpkgconf3                                | Backend library for pkgconf                                                        | package
i  | libplacebo264                              | Library for GPU-accelerated video/image rendering primitives                       | package
i  | libplacebo292                              | Library for GPU-accelerated video/image rendering primitives                       | package
i  | libplacebo338                              | Library for GPU-accelerated video/image rendering primitives                       | package
i  | libplayerctl2                              | A library for controlling media players over D-Bus                                 | package
i  | libplist-2_0-4                             | Library for handling Apple Binary and XML Property Lists                           | package
i  | libply-splash-core5                        | Plymouth core library                                                              | package
i  | libply-splash-graphics5                    | Plymouth graphics libraries                                                        | package
i  | libply5                                    | Plymouth core library                                                              | package
i  | libpng16-16                                | Library for the Portable Network Graphics Format (PNG)                             | package
i  | libpng16-16-x86-64-v3                      | Library for the Portable Network Graphics Format (PNG)                             | package
i  | libpolkit-agent-1-0                        | PolicyKit Authorization Framework -- Agent Library                                 | package
i  | libpolkit-gobject-1-0                      | PolicyKit Authorization Framework -- GObject Library                               | package
i  | libpoppler-cpp0                            | C++ API of the Poppler PDF rendering library                                       | package
i  | libpoppler-glib8                           | Glib wrapper for the poppler PDF rendering library                                 | package
i  | libpoppler131                              | PDF Rendering Library                                                              | package
i  | libpopt0                                   | A C library for parsing command line parameters                                    | package
i  | libportaudio2                              | Portable Real-Time Audio Library                                                   | package
i+ | libpostproc55_9                            | FFmpeg post-processing library                                                     | package
i+ | libpostproc57                              | FFmpeg post-processing library                                                     | package
i  | libprocps8                                 | The procps library                                                                 | package
i  | libprotobuf-c1                             | C bindings for Google's Protocol Buffers                                           | package
i  | libprotobuf-lite23_4_0                     | Protocol Buffers - Google's data interchange format                                | package
i  | libproxy1                                  | Automatic proxy configuration management for applications                          | package
i  | libpsl5                                    | C library for the Publix Suffix List                                               | package
i  | libpulse-mainloop-glib0                    | GLIB 2.0 Main Loop wrapper for PulseAudio                                          | package
i  | libpulse0                                  | Client interface to PulseAudio                                                     | package
i  | libpwquality1                              | Library for password quality checking and generating random passwords              | package
i  | libpxbackend-1_0                           | Backend library for libproxy, handles plugin loading                               | package
i  | libpython3_10-1_0                          | Python Interpreter shared library                                                  | package
i  | libpython3_11-1_0                          | Python Interpreter shared library                                                  | package
i  | libpython3_11-1_0-x86-64-v3                | Python Interpreter shared library                                                  | package
i  | libqmi-glib5                               | Library to control QMI devices                                                     | package
i  | libqmi-tools                               | Helper utilities to control QMI devices                                            | package
i  | libqpdf29                                  | Shared libraries for qpdf                                                          | package
i  | libqrencode4                               | C library for encoding data in a QR Code symbol                                    | package
i  | libqrtr-glib0                              | Qualcomm IPC Router protocol helper library                                        | package
i  | libqt5-qtbase-platformtheme-gtk3           | Qt 5 gtk3 plugin                                                                   | package
i  | libqt5-qtgraphicaleffects                  | Qt 5 Graphical Effects                                                             | package
i  | libqt5-qtquickcontrols2                    | Qt 5 Quick Controls Addon                                                          | package
i  | libqt5-qtstyleplugins-platformtheme-gtk2   | Qt 5 gtk2 plugin                                                                   | package
i  | libqt5-qttranslations                      | Qt 5 translations                                                                  | package
i  | libqt5-qtxmlpatterns-imports               | QML imports for the XmlPatterns module                                             | package
i  | libQt5Core5                                | Qt 5 Core Library                                                                  | package
i  | libQt5DBus5                                | Qt5 D-Bus library                                                                  | package
i  | libQt5Gui5                                 | Qt 5 GUI related libraries                                                         | package
i  | libQt5Multimedia5                          | Qt 5 Multimedia Library                                                            | package
i  | libQt5Network5                             | Qt 5 Network Library                                                               | package
i  | libQt5PrintSupport5                        | Qt 5 Print Support Library                                                         | package
i  | libQt5QuickControls2-5                     | Qt 5 QuickControl2 Library                                                         | package
i  | libQt5QuickTemplates2-5                    | Qt5 QuickTemplates2 Library                                                        | package
i  | libQt5Sql5                                 | Qt 5 SQL related libraries                                                         | package
i  | libQt5Sql5-sqlite                          | Qt 5 sqlite plugin                                                                 | package
i  | libQt5Svg5                                 | Qt 5 SVG Library                                                                   | package
i  | libQt5Test5                                | Qt 5 Test Library                                                                  | package
i  | libQt5Widgets5                             | Qt 5 Widgets Library                                                               | package
i  | libQt5X11Extras5                           | Qt 5 X11 Extras Addon                                                              | package
i  | libQt5XmlPatterns5                         | Qt 5 XmlPatterns Library                                                           | package
i  | libQtQuick5                                | Qt 5 Declarative Library                                                           | package
i  | libraptor2-0                               | RDF Parser Toolkit                                                                 | package
i  | librav1e0                                  | AV1 encoder library                                                                | package
i  | libraw1394-11                              | A Firewire Interface library                                                       | package
i  | libreadline8                               | The Readline Library                                                               | package
i  | librhash1                                  | LibRHash Shared Library                                                            | package
i+ | librist4                                   | Reliable Internet Stream Transport protocol                                        | package
i  | librmt1_0                                  | Remote tape client interface library                                               | package
i  | librscg1_0                                 | Remote SCSI user level command transport routines                                  | package
i  | librsvg-2-2                                | A Library for Rendering SVG Data                                                   | package
i  | librtmp1                                   | RTMP Stream Dumper Library                                                         | package
i  | librubberband2                             | Audio time-stretching and pitch-shifting library                                   | package
i  | libruby3_2-3_2                             | Dynamic runtime library for Ruby                                                   | package
i  | libsamplerate0                             | A Sample Rate Converter Library                                                    | package
i  | libsasl2-3                                 | Simple Authentication and Security Layer (SASL) library                            | package
i  | libsbc1                                    | Bluetooth Low-Complexity, Sub-Band Codec Library                                   | package
i  | libscg1_0                                  | SCSI transport library                                                             | package
i  | libscgcmd1_0                               | SCSI command function library                                                      | package
i  | libschily2_0                               | Support library for utilities from the Schily toolbox                              | package
i  | libschroedinger-1_0-0                      | Library for decoding and encoding video in the Dirac format                        | package
i  | libSDL2-2_0-0                              | Simple DirectMedia Layer Library                                                   | package
i  | libseat1                                   | Seat management library                                                            | package
i  | libseccomp2                                | An enhanced Seccomp (mode 2) helper library                                        | package
i  | libsecret-1-0                              | Library for accessing the Secret Service API                                       | package
i  | libselinux1                                | SELinux runtime library                                                            | package
i  | libsemanage-conf                           | Configuration for the SELinux policy management library                            | package
i  | libsemanage2                               | SELinux policy management library                                                  | package
i  | libsensors4                                | Hardware health monitoring library                                                 | package
i  | libsepol2                                  | SELinux binary policy manipulation library                                         | package
i  | libserd-0-0                                | A lightweight C library for RDF syntax                                             | package
i  | libsgutils2-1_48-2                         | Library to hold functions common to the SCSI utilities                             | package
i  | libsha1detectcoll1                         | Library that can detect SHA-1 collisions                                           | package
i  | libshaderc_shared1                         | SPIR-V shader compiler library                                                     | package
i  | libsharpyuv0                               | Library for sharpening YUV option in WebP                                          | package
i  | libshine3                                  | MP3 encoding library                                                               | package
i  | libshout3                                  | Library for communicating with Icecast servers                                     | package
i  | libsigc-2_0-0                              | Typesafe Signal Framework for C++                                                  | package
i  | libslang2                                  | Programming Library and Embeddable Extension Language                              | package
i  | libslp1                                    | An Implementation of the Service Location Protocol V2                              | package
i  | libSM6                                     | X Session Management library                                                       | package
i  | libsmartcols1                              | Column-based text sort engine                                                      | package
i  | libsmi                                     | A Library to Access SMI MIB Information                                            | package
i  | libsmi2                                    | Libsmi Shared Libraries                                                            | package
i  | libsmputils1-1                             | Library for SAS SMP control of expanders                                           | package
i  | libsnapper7                                | Library for filesystem snapshot management                                         | package
i  | libsnappy1                                 | Shared library from snappy                                                         | package
i  | libsndfile1                                | A Library to Handle Various Audio File Formats                                     | package
i  | libsndio7_1                                | Small audio and MIDI framework                                                     | package
i  | libsnmp40                                  | Shared Libraries from net-snmp                                                     | package
i  | libsodium23                                | Portable NaCl-based crypto library                                                 | package
i  | libsoftokn3                                | Network Security Services Softoken Module                                          | package
i  | libsolv-tools                              | Utilities to work with .solv files                                                 | package
i  | libsord-0-0                                | A lightweight C library for storing RDF data in memory                             | package
i  | libSoundTouch1                             | Audio Processing Library                                                           | package
i  | libsoup-3_0-0                              | HTTP client/server library for GNOME                                               | package
i  | libsoxr0                                   | The SoX Resampler library                                                          | package
i  | libspandsp3                                | A DSP library for Telephony and SoftFAX                                            | package
i  | libspdlog1_12                              | C++ logging library                                                                | package
i  | libspeex1                                  | An Open Source, Patent Free Speech Codec Library                                   | package
i  | libspeexdsp1                               | Patent-free speech codec                                                           | package
i  | libSPIRV-Tools-2023_4_rc2                  | SPIR-V tool component library                                                      | package
i  | libsqlite3-0                               | Shared libraries for the Embeddable SQL Database Engine                            | package
i  | libsqlite3-0-x86-64-v3                     | Shared libraries for the Embeddable SQL Database Engine                            | package
i  | libsratom-0-0                              | A library for serialising LV2 atoms to/from RDF                                    | package
i  | libsrt1_5                                  | Secure Reliable Transport (SRT) library                                            | package
i  | libsrtp2-1                                 | Secure Real-Time Transport Protocol (SRTP) library v2                              | package
i  | libssh-config                              | SSH library configuration files                                                    | package
i  | libssh2-1                                  | A library implementing the SSH2 protocol                                           | package
i  | libssh4                                    | SSH library                                                                        | package
i  | libstdc++-devel                            | The system GNU C++ development files                                               | package
i  | libstdc++6                                 | The standard C++ shared library                                                    | package
i  | libstdc++6-devel-gcc13                     | Include Files and Libraries mandatory for Development                              | package
i  | libstemmer1d                               | Shared library for libstemmer                                                      | package
i  | libstlink1                                 | Shared library for stlink                                                          | package
i  | libstorage-ng-lang                         | Languages for package libstorage-ng                                                | package
i  | libstorage-ng-ruby                         | Ruby bindings for libstorage-ng                                                    | package
i  | libstorage-ng1                             | Library for storage management                                                     | package
i  | libsubid4                                  | A library to manage subordinate uid and gid ranges                                 | package
i  | libSvtAv1Enc1                              | An AV1 decoder/encoder for video streams                                           | package
i+ | libswresample3_9                           | FFmpeg software resampling library                                                 | package
i+ | libswresample4                             | FFmpeg software resampling library                                                 | package
i+ | libswscale7                                | FFmpeg image scaling and colorspace/pixel conversion library                       | package
i  | libsynctex2                                | Libraries of The Synchronization TeXnology                                         | package
i  | libsystemd0                                | Component library for systemd                                                      | package
i  | libtag1                                    | Audio Meta-Data Library                                                            | package
i  | libtalloc2                                 | Samba talloc library                                                               | package
i  | libtalloc2-x86-64-v3                       | Samba talloc library                                                               | package
i  | libtasn1-6                                 | ASN.1 parsing library                                                              | package
i  | libtdb1                                    | Samba Trivial Database                                                             | package
i  | libtermkey1                                | Library for processing of keyboard entry from terminal-based programs              | package
i  | libtevent0                                 | Samba tevent Library                                                               | package
i  | libtextstyle0                              | Provides textstyling for console output                                            | package
i  | libthai-data                               | Data files for the Thai language support library                                   | package
i  | libthai0                                   | Thai Language Support Routines                                                     | package
i  | libtheora0                                 | Theora video compression codec                                                     | package
i  | libtheoradec1                              | Theora video decompression library                                                 | package
i  | libtheoraenc1                              | Theora video compression library                                                   | package
i  | libtiff6                                   | The Tiff Library (with JPEG and compression support)                               | package
i  | libtirpc-netconfig                         | Netconfig configuration file for TI-RPC Library                                    | package
i  | libtirpc3                                  | Transport Independent RPC Library                                                  | package
i  | libtracker-sparql-3_0-0                    | Sparql library for Tracker                                                         | package
i  | libtree-sitter0                            | Asychronous I/O support library                                                    | package
i  | libtree-sitter0-x86-64-v3                  | Asychronous I/O support library                                                    | package
i  | libts0                                     | Abstraction layer for touchscreens                                                 | package
i  | libtsan2                                   | The GNU Compiler Thread Sanitizer Runtime Library                                  | package
i  | libtss2-esys0                              | TPM2 Enhanced System API (ESAPI)                                                   | package
i  | libtss2-mu0                                | TPM2 marshaling/unmarshaling library                                               | package
i  | libtss2-rc0                                | TPM2 error code translation library                                                | package
i  | libtss2-sys1                               | TPM2 System API (SAPI)                                                             | package
i  | libtwolame0                                | Shared libraries for TwoLame                                                       | package
i  | libubsan1                                  | The GNU Compiler Undefined Sanitizer Runtime Library                               | package
i  | libudev1                                   | Dynamic library to access udev device information                                  | package
i  | libudisks2-0                               | Dynamic library to access the UDisksd daemon                                       | package
i  | libudisks2-0_btrfs                         | UDisks module for btrfs                                                            | package
i  | libunibilium4                              | A terminfo parsing library                                                         | package
i  | libunistring5                              | GNU Unicode string library                                                         | package
i  | libunwind8                                 | Call chain detection library for process self-inspection                           | package
i  | libupnp17                                  | An implementation of Universal Plug and Play (UPnP)                                | package
i  | libupower-glib3                            | Power Device Enumeration Framework - Library                                       | package
i  | liburcu8                                   | Userspace Read-Copy-Update Library                                                 | package
i  | libUsageEnvironment3                       | Usage Environment library of live555 streaming media                               | package
i  | libusb-1_0-0                               | USB Library                                                                        | package
i  | libusbmuxd-2_0-6                           | A client library to multiplex connections from and to iOS devices                  | package
i  | libutempter0                               | Shared library of utempter                                                         | package
i  | libutf8proc2                               | Library for processing UTF-8 encoded Unicode strings                               | package
i  | libuuid1                                   | Library to generate UUIDs                                                          | package
i  | libuv1                                     | Asychronous I/O support library                                                    | package
i  | libv4l                                     | Collection of video4linux support libraries                                        | package
i  | libv4l1-0                                  | Video4linux support library                                                        | package
i  | libv4l2-0                                  | Video4linux support library                                                        | package
i  | libv4lconvert0                             | Video4linux support library                                                        | package
i  | libva-drm2                                 | DRM backend for the Video Acceleration API                                         | package
i  | libva-glx2                                 | GLX backend for the Video Acceleration API                                         | package
i  | libva-wayland2                             | Wayland backend for the Video Acceleration API                                     | package
i  | libva-x11-2                                | X11 backend for the Video Acceleration API                                         | package
i  | libva2                                     | Video Acceleration API                                                             | package
i  | libvdpau1                                  | VDPAU wrapper library                                                              | package
i  | libvdpau_va_gl1                            | VDPAU driver with OpenGL/VAAPI backend                                             | package
i  | libverto1                                  | Runtime libraries for libverto                                                     | package
i  | libvidstab1_1                              | A library to deshake video                                                         | package
i  | libvisual-0_4-0                            | Sound Visualization library                                                        | package
i+ | libvlc5                                    | Shared code for the VLC media player program                                       | package
i+ | libvlccore9                                | Shared code for the VLC media player program                                       | package
i  | libvmaf1                                   | Perceptual video quality assessment algorithm                                      | package
i  | libvncclient1                              | Library implementing a VNC client                                                  | package
i  | libvo-aacenc0                              | VisualOn AAC encoder library                                                       | package
i+ | libvo-amrwbenc0                            | VisualOn AMR-WB encoder library                                                    | package
i  | libvorbis0                                 | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbis0-x86-64-v3                       | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisenc2                              | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisenc2-x86-64-v3                    | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisfile3                             | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisfile3-x86-64-v3                   | The Vorbis General Audio Compression Codec                                         | package
i  | libvpx8                                    | VP8/VP9 codec library                                                              | package
i  | libvterm0                                  | Shared library package of libvterm                                                 | package
i  | libvulkan1                                 | The Vulkan 3D graphics and compute API                                             | package
i+ | libvulkan_intel                            | Mesa vulkan driver for Intel GPU                                                   | package
i  | libwacom-data                              | Library to identify wacom tablets -- Data Files                                    | package
i  | libwacom9                                  | Library to identify wacom tablets                                                  | package
i  | libwavpack1                                | Hybrid Lossless Audio Compression Format                                           | package
i  | libwayland-client0                         | Wayland core client library                                                        | package
i  | libwayland-cursor0                         | Wayland cursor library                                                             | package
i  | libwayland-egl1                            | Additional egl functions for wayland                                               | package
i  | libwayland-server0                         | Wayland core server library                                                        | package
i  | libwebp7                                   | Library for the WebP graphics format                                               | package
i  | libwebpmux3                                | Library for reading/adding data to WebP container files                            | package
i  | libwebrtc-audio-processing-1-3             | Real-Time Communication Library for Web Browsers                                   | package
i  | libwinpr2-2                                | Windows Portable Runtime                                                           | package
i  | libwireplumber-0_4-0                       | Session / policy manager implementation for PipeWire                               | package
i  | libwireshark16                             | Network packet dissection library                                                  | package
i  | libwiretap13                               | Wireshark library for tapping                                                      | package
i  | libwlroots11                               | Modular Wayland compositor library                                                 | package
i  | libwrap0                                   | The TCP wrapper library                                                            | package
i  | libwsutil14                                | Library for wireshark utilities                                                    | package
i  | libwtmpdb0                                 | PAM module to store login and logout of users                                      | package
i  | libX11-6                                   | Core X11 protocol client library                                                   | package
i  | libX11-data                                | Shared data for the Core X11 protocol library                                      | package
i  | libX11-xcb1                                | XCB X11 protocol client library                                                    | package
i  | libx86emu3                                 | An x86 emulation library                                                           | package
i  | libx264-164                                | A free h264/avc encoder - encoder binary                                           | package
i  | libx265-199                                | A free H265/HEVC encoder - encoder binary                                          | package
i  | libxapp1                                   | XApp library                                                                       | package
i  | libXau6                                    | X11 authorization protocol library                                                 | package
i  | libXaw7                                    | The X Athena Widget Set                                                            | package
i  | libxcb-composite0                          | X11 Composite Extension C library                                                  | package
i  | libxcb-damage0                             | X11 Damage Extension C library                                                     | package
i  | libxcb-dri2-0                              | X11 DRI2 Extension C library                                                       | package
i  | libxcb-dri3-0                              | X11 DRI3 Extension C library                                                       | package
i  | libxcb-errors0                             | XCB errors library                                                                 | package
i  | libxcb-glx0                                | X11 GLX Extension C library                                                        | package
i  | libxcb-icccm4                              | XCB utility module for client- and WM-side ICCCM helpers                           | package
i  | libxcb-image0                              | XCB utility module for XImage/XShmImage-like functions                             | package
i  | libxcb-keysyms1                            | XCB utility module for X keycode constants and conversions                         | package
i  | libxcb-present0                            | X11 Present Extension C library                                                    | package
i  | libxcb-randr0                              | X11 RandR Extension C library                                                      | package
i  | libxcb-render-util0                        | XCB utility module for the Render extension                                        | package
i  | libxcb-render0                             | X11 Render Extension C library                                                     | package
i  | libxcb-res0                                | X11 Resource Extension C library                                                   | package
i  | libxcb-shape0                              | X11 Shape Extension C library                                                      | package
i  | libxcb-shm0                                | X11 Shared Memory Extension C library                                              | package
i  | libxcb-sync1                               | X11 Sync Extension C library                                                       | package
i  | libxcb-util1                               | XCB utility modules                                                                | package
i  | libxcb-xfixes0                             | X11 Xfixes Extension C library                                                     | package
i  | libxcb-xinerama0                           | X11 Xinerama Extension C library                                                   | package
i  | libxcb-xinput0                             | X11 XInput Extension C library                                                     | package
i  | libxcb-xkb1                                | X11 Keyboard Extension C library                                                   | package
i  | libxcb1                                    | X11 core protocol C library                                                        | package
i  | libXcomposite1                             | X11 protocol Composite extension client library                                    | package
i  | libxcrypt-devel                            | Development files for libxcrypt                                                    | package
i  | libXcursor1                                | X Window System Cursor management library                                          | package
i  | libxcvt0                                   | CVT standard timing modeline generator                                             | package
i  | libXdamage1                                | X Damage Extension library                                                         | package
i  | libXdmcp6                                  | X Display Manager Control Protocol library                                         | package
i  | libXext6                                   | Common extensions to the X11 protocol                                              | package
i  | libXfixes3                                 | X11 miscellaneous "fixes" extension library                                        | package
i  | libXfont2-2                                | X font handling library for server and utilities                                   | package
i  | libXft2                                    | X FreeType library                                                                 | package
i  | libXi6                                     | X Input Extension library                                                          | package
i  | libXinerama1                               | Xinerama extension to the X11 Protocol                                             | package
i  | libxkbcommon-x11-0                         | Library for handling xkb descriptions using XKB-X11                                | package
i  | libxkbcommon0                              | Library for handling xkb descriptions                                              | package
i  | libxkbfile1                                | X11 keyboard file manipulation library                                             | package
i  | libxkbregistry0                            | Library for handling xkb descriptions                                              | package
i  | libxklavier16                              | Library with X keyboard related functions                                          | package
i  | libxml++-3_0-1                             | C++ Interface for XML Files                                                        | package
i  | libxml2-2                                  | A Library to Manipulate XML Files                                                  | package
i  | libxml2-tools                              | Tools using libxml                                                                 | package
i  | libxmlb2                                   | Library for querying compressed XML metadata                                       | package
i  | libxmlb2-x86-64-v3                         | Library for querying compressed XML metadata                                       | package
i  | libXmu6                                    | Miscellaneous utility routines for X                                               | package
i  | libXpm4                                    | X Pixmap image file format library                                                 | package
i  | libXrandr2                                 | X Resize, Rotate and Reflection extension library                                  | package
i  | libXrender1                                | X Rendering Extension library                                                      | package
i  | libxshmfence1                              | A tiny library that exposes a event API on top of Linux futexes                    | package
i  | libxslt1                                   | XSL Transformation Library                                                         | package
i  | libXt6                                     | X Toolkit Intrinsics library                                                       | package
i  | libxtables12                               | The iptables plugin interface                                                      | package
